City_ID,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
210,Aasiaat,68.7098,-52.8699,2.77,82,100,3.15,overcast clouds
211,Pozo Colorado,-23.4923,-58.7972,92.35,21,4,7.85,clear sky
212,Monrovia,6.3005,-10.7969,80.58,82,22,12.28,few clouds
213,Itabirito,-20.2533,-43.8014,86.77,84,99,0.81,overcast clouds
214,Phan Thiet,10.9333,108.1,76.05,89,99,7.29,overcast clouds
215,Sampit,-2.5333,112.95,73.35,99,99,1.07,overcast clouds
216,Zwedru,6.0667,-8.1281,78.64,80,81,4.92,light rain
217,Tahta,26.7693,31.5021,58.42,33,0,13.47,clear sky
218,Galway,53.2719,-9.0489,45.07,73,9,19.22,clear sky
219,Neiafu,-18.65,-173.9833,79.48,89,40,6.91,scattered clouds
220,Deputatskiy,69.3,139.9,-18.81,99,100,1.72,overcast clouds
221,Zorritos,-3.6805,-80.6782,88.09,65,44,12.68,scattered clouds
222,Mweka,-4.85,21.5667,66.87,94,100,1.97,overcast clouds
223,Behbahan,30.5959,50.2417,71.29,43,100,7.67,overcast clouds
224,Wajima,37.4,136.9,52.38,97,100,14.79,overcast clouds
225,Keti Bandar,24.1447,67.4497,77.9,65,0,9.98,clear sky
226,Nanhai,30.1282,111.7784,68.86,83,19,3.6,few clouds
227,Aldan,58.6031,125.3894,-0.72,99,100,2.62,overcast clouds
228,Marabba,12.35,32.1833,86.4,13,82,16.69,broken clouds
229,Madimba,-10.4,40.3333,78.75,81,55,4.76,broken clouds
230,Olyka,50.7186,25.8125,33.93,76,9,4.83,clear sky
231,Solnechnyy,50.7214,136.6319,7.92,94,31,4.14,scattered clouds
232,Panzhihua,26.5851,101.7128,60.69,33,91,1.59,overcast clouds
233,Coihaique,-45.5752,-72.0662,59.61,54,100,9.93,overcast clouds
234,Cocula,20.3652,-103.8222,85.44,9,0,9.35,clear sky
235,Kedrovyy,56.1667,91.8167,-14.13,100,59,3.74,broken clouds
236,Ayorou,14.7308,0.9174,88.72,14,5,8.21,clear sky
237,Savinka,50.0785,47.0994,0.88,99,72,6.24,broken clouds
238,Nata,8.3333,-80.5167,94.89,36,44,17.78,scattered clouds
239,Khani,41.9563,42.9566,26.17,87,99,0.45,overcast clouds
240,Biloela,-24.4167,150.5,63.9,88,100,7.0,overcast clouds
241,Yatou,37.15,122.3833,41.9,96,91,6.64,overcast clouds
242,Manyana,-23.4,21.7167,78.17,45,100,4.81,overcast clouds
243,Colac,-38.3333,143.5833,61.83,95,97,3.58,light rain
244,Cheremukhovo,60.3484,59.9851,8.94,98,100,3.49,overcast clouds
245,Istanbul,41.0351,28.9833,34.07,93,0,2.3,clear sky
246,Emmett,43.8735,-116.4993,51.17,41,100,3.0,overcast clouds
247,Bakchar,57.0186,82.0711,-6.72,100,54,4.59,broken clouds
248,Manono,-7.3,27.4167,69.57,90,93,2.19,overcast clouds
249,Cochrane,51.1834,-114.4687,36.75,58,0,6.91,clear sky
250,Gornopravdinsk,60.05,69.9,-1.88,99,100,4.5,overcast clouds
251,Mecca,21.4267,39.8261,72.34,58,4,8.32,clear sky
252,Sangueya,10.7,-14.3667,78.85,62,100,9.51,overcast clouds
253,Disna,55.568,28.1971,28.18,91,13,5.46,few clouds
254,Worthington,40.0931,-83.018,43.54,53,0,20.71,clear sky
255,Belyy Yar,53.6039,91.3903,4.89,56,0,8.95,clear sky
256,Jinchang,38.4953,102.1739,46.92,41,98,7.65,overcast clouds
257,Shuangyang,43.5242,125.6736,29.86,89,99,5.21,snow
258,Wufeng,27.45,104.8333,58.05,81,100,0.4,overcast clouds
259,Mazyr,52.0495,29.2456,29.25,73,9,2.3,clear sky
260,Margate,51.3813,1.3862,48.31,89,100,3.0,light rain
261,Kangundo,-1.2979,37.3471,71.94,50,100,3.51,overcast clouds
262,Hernani,43.2662,-1.9762,54.86,68,0,5.01,clear sky
263,Waipawa,-41.4122,175.5153,54.55,77,100,5.77,overcast clouds
264,Sayyan,15.1718,44.3244,59.81,22,87,3.4,overcast clouds
265,Samana,19.2056,-69.3369,84.42,79,40,6.91,scattered clouds
266,Gorontalo,0.5412,123.0595,75.52,95,95,1.92,overcast clouds
267,Thinadhoo,0.5333,72.9333,83.48,68,100,4.99,overcast clouds
268,Cassilandia,-19.1133,-51.7342,83.19,59,94,4.09,overcast clouds
269,Cali,3.4372,-76.5225,87.8,45,40,5.75,scattered clouds
270,Jardim,-21.4803,-56.1381,73.58,92,100,0.98,overcast clouds
271,Vestmanna,62.1564,-7.1664,43.72,93,100,18.41,overcast clouds
272,Pitimbu,-7.4706,-34.8086,84.79,71,100,9.44,overcast clouds
273,Miranda,3.2499,-76.2281,86.13,54,23,2.95,few clouds
274,Severo-Yeniseyskiy,60.3725,93.0408,-23.01,100,71,2.62,broken clouds
275,Chegdomyn,51.1167,133.0167,5.11,98,99,1.61,overcast clouds
276,Rhyl,53.3196,-3.4886,49.84,85,100,7.83,overcast clouds
277,Den Helder,52.9599,4.7593,56.01,65,100,10.36,overcast clouds
278,San Ramon,37.7799,-121.978,63.91,60,40,8.05,scattered clouds
279,Arman,59.7,150.1667,2.01,80,100,6.69,overcast clouds
280,Orsha,54.5153,30.4053,23.36,95,45,5.59,scattered clouds
281,Balaipungut,1.05,101.2833,78.48,87,100,2.39,overcast clouds
282,Lavumisa,-27.31,31.892,71.64,86,0,3.2,clear sky
283,Uribia,11.7139,-72.266,93.36,34,68,19.26,broken clouds
284,Sungaipenuh,-2.0833,101.3833,65.08,98,100,1.63,moderate rain
285,Pyu,18.4833,96.4333,79.27,50,15,2.51,few clouds
286,Filadelfia,39.9523,-75.1638,38.14,40,40,12.66,scattered clouds
287,Nemuro,43.3236,145.575,30.61,90,100,6.89,overcast clouds
288,Yeppoon,-23.1333,150.7333,69.58,81,94,12.93,overcast clouds
289,Lima,-12.0432,-77.0282,75.38,84,0,9.22,clear sky
290,Praya,14.9215,-23.5087,73.94,60,20,26.46,few clouds
291,Juegang,32.3174,121.1855,55.9,98,73,3.38,broken clouds
292,Itupiranga,-5.1347,-49.3267,91.72,77,42,1.88,scattered clouds
293,Bonthe,7.5264,-12.505,79.97,83,100,10.36,overcast clouds
294,Zell Am See,47.3256,12.7944,39.0,66,2,9.73,clear sky
295,Sao Raimundo Das Mangabeiras,-7.0219,-45.4811,85.71,63,85,5.3,moderate rain
296,Sangar,63.9242,127.4739,-8.99,99,100,3.04,overcast clouds
297,Eucaliptus,-17.5833,-67.5167,59.23,44,78,12.48,broken clouds
298,Pandan,14.0453,124.1694,77.76,89,83,7.49,broken clouds
299,Arshan,46.2732,44.22,23.45,85,22,4.47,few clouds
300,Manzhouli,49.6,117.4333,16.72,87,100,1.45,overcast clouds
301,Meiktila,20.8667,95.8667,83.68,35,6,6.69,clear sky
302,Kholmy,51.871,32.6006,27.95,75,62,2.98,broken clouds
303,Wuxue,29.8506,115.5525,72.28,78,96,2.95,overcast clouds
